Brand,Rating,Processor,Display,OS,RAMSize,RAMType,Storage_HDD,Storage_SSD,MRP
ASUS,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.5,Intel Core i7 Processor,39.62,Windows,16,DDR5 ,0,1000,99990.0
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
APPLE,4.3,Apple M1 Max Processor,41.15,Mac,32,Unified Memory ,0,1000,309490.0
ASUS,4.4,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,1000,256,64990.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,512,89990.0
ASUS,4.5,AMD Ryzen 7 Octa Core Processor,43.94,Windows,16,DDR4 ,0,512,85990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,194990.0
Lenovo,4.3,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,44990.0
APPLE,4.8,Apple M1 Pro Processor,36.07,Mac,16,Unified Memory ,0,1000,222990.0
Ultimus,4.3,Intel Celeron Dual Core Processor,35.81,DOS,4,LPDDR4 ,0,128,15990.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
DELL,4.3,Intel OptaneIntel Core i3 Processor,39.62,Windows,8,DDR4 ,1000,256,45900.0
ASUS,4.3,Intel Core i7 Processor,33.78,Windows,16,LPDDR4X ,0,512,79990.0
ASUS,4.4,Intel Core i5 Processor,35.56,Windows,8,DDR4 ,0,512,56990.0
DELL,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,256,34990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
DELL,3.4,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,43580.0
Lenovo,5.0,AMD Ryzen 5 Hexa Core Processor,33.78,Windows,16,DDR4 ,0,512,74990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
Lenovo,4.3,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,37490.0
Infinix,4.2,Intel Celeron Quad Core Processor,35.56,Windows,4,LPDDR4X ,0,128,20990.0
MSI,4.6,Intel Core i7 Processor,39.62,Windows,16,DDR4 ,0,512,109990.0
ASUS,4.7,Intel Core i5 Processor,33.78,Windows,16,LPDDR4 ,0,512,71990.0
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
